symbol,name,weight
NVDA,NVIDIA CORP,7.658346
AAPL,APPLE INC,6.913008
GOOGL,Alphabet Inc. (Combined),5.565617
MSFT,MICROSOFT CORP,5.490147
AMZN,AMAZON.COM INC,3.890995
AVGO,BROADCOM INC,2.576264
META,META PLATFORMS INC CLASS A,1.8619
MU,MICRON TECHNOLOGY INC,1.557137
LLY,ELI LILLY + CO,1.495952
TSLA,TESLA INC,1.489895
JPM,JPMORGAN CHASE + CO,1.448271
BRK.B,BERKSHIRE HATHAWAY INC CL B,1.402221
AMD,ADVANCED MICRO DEVICES,1.129485
XOM,EXXONMOBIL HOLDINGS CORP,1.031182
JNJ,JOHNSON + JOHNSON,0.991834
V,VISA INC CLASS A SHARES,0.962416
MA,MASTERCARD INC   A,0.733934
ABBV,ABBVIE INC,0.708661
WMT,WALMART INC,0.707941
CSCO,CISCO SYSTEMS INC,0.660208
INTC,INTEL CORP,0.653509
COST,COSTCO WHOLESALE CORP,0.653479
BAC,BANK OF AMERICA CORP,0.617055
PLTR,PALANTIR TECHNOLOGIES INC A,0.612319
LRCX,LAM RESEARCH CORP,0.588357
