symbol,name,weight
NVDA,NVIDIA CORP,7.658346
AAPL,APPLE INC,6.913008
GOOGL,Alphabet Inc. (Combined),5.565617
MSFT,MICROSOFT CORP,5.490147
AMZN,AMAZON.COM INC,3.890995
AVGO,BROADCOM INC,2.576264
META,META PLATFORMS INC CLASS A,1.8619
MU,MICRON TECHNOLOGY INC,1.557137
LLY,ELI LILLY + CO,1.495952
TSLA,TESLA INC,1.489895
JPM,JPMORGAN CHASE + CO,1.448271
BRK.B,BERKSHIRE HATHAWAY INC CL B,1.402221
AMD,ADVANCED MICRO DEVICES,1.129485
XOM,EXXONMOBIL HOLDINGS CORP,1.031182
JNJ,JOHNSON + JOHNSON,0.991834
V,VISA INC CLASS A SHARES,0.962416
MA,MASTERCARD INC   A,0.733934
ABBV,ABBVIE INC,0.708661
WMT,WALMART INC,0.707941
CSCO,CISCO SYSTEMS INC,0.660208
INTC,INTEL CORP,0.653509
COST,COSTCO WHOLESALE CORP,0.653479
BAC,BANK OF AMERICA CORP,0.617055
PLTR,PALANTIR TECHNOLOGIES INC A,0.612319
LRCX,LAM RESEARCH CORP,0.588357
AMAT,APPLIED MATERIALS INC,0.582882
CVX,CHEVRON CORP,0.576487
CAT,CATERPILLAR INC,0.566403
MRK,MERCK + CO. INC.,0.564372
UNH,UNITEDHEALTH GROUP INC,0.549077
GE,GENERAL ELECTRIC,0.540783
KO,COCA COLA CO/THE,0.540046
PG,PROCTER + GAMBLE CO/THE,0.51755
NFLX,NETFLIX INC,0.510774
HD,HOME DEPOT INC,0.509539
GS,GOLDMAN SACHS GROUP INC,0.463461
PM,PHILIP MORRIS INTERNATIONAL,0.452411
PANW,PALO ALTO NETWORKS INC,0.431462
RTX,RTX CORP,0.427321
WFC,WELLS FARGO + CO,0.393049
MS,MORGAN STANLEY,0.389047
GEV,GE VERNOVA INC,0.384091
ORCL,ORACLE CORP,0.366728
AMGN,AMGEN INC,0.363334
KLAC,KLA CORP,0.359702
TXN,TEXAS INSTRUMENTS INC,0.357386
TMO,THERMO FISHER SCIENTIFIC INC,0.354317
LIN,LINDE PLC,0.343442
C,CITIGROUP INC,0.340574
SNDK,SANDISK CORP,0.335485
