symbol,name,weight
TWLO,Twilio Inc. Class A,1.014311
P,Everpure Inc. Class A,0.992175
ATI,ATI Inc,0.830862
FTI,TechnipFMC plc,0.819065
ILMN,Illumina Inc.,0.780964
NVT,nVent Electric plc,0.736689
CRS,Carpenter Technology Corporation,0.713012
OKTA,Okta Inc. Class A,0.696086
CW,Curtiss-Wright Corporation,0.681807
CASH_USD,U.S. Dollar,0.67967
ENTG,Entegris Inc.,0.669353
XPO,XPO Inc.,0.664013
USFD,US Foods Holding Corp.,0.649608
THC,Tenet Healthcare Corporation,0.616345
BURL,Burlington Stores Inc.,0.598186
RS,Reliance Inc.,0.581527
WWD,Woodward Inc.,0.572403
UTHR,United Therapeutics Corporation,0.570122
MKSI,MKS Inc.,0.554326
FN,Fabrinet,0.543866
ROKU,Roku Inc. Class A,0.541628
MTSI,MACOM Technology Solutions Holdings Inc.,0.539845
ITT,ITT Inc.,0.51909
CDE,Coeur Mining Inc.,0.511417
SNX,TD SYNNEX Corporation,0.509987
EWBC,East West Bancorp Inc.,0.499075
RGLD,Royal Gold Inc.,0.493315
NTNX,Nutanix Inc. Class A,0.482865
MTZ,MasTec Inc.,0.472346
LSCC,Lattice Semiconductor Corporation,0.471475
WCC,WESCO International Inc.,0.469045
RBC,RBC Bearings Incorporated,0.46845
OVV,Ovintiv Inc,0.459794
JLL,Jones Lang LaSalle Incorporated,0.459356
NLY,Annaly Capital Management Inc.,0.459246
STRL,Sterling Infrastructure Inc.,0.454809
ONTO,Onto Innovation Inc.,0.450274
APG,APi Group Corporation,0.449201
PR,Permian Resources Corporation Class A,0.444969
TOST,Toast Inc. Class A,0.443124
PFGC,Performance Food Group Co,0.439771
RGA,Reinsurance Group of America Incorporated,0.439517
ROIV,Roivant Sciences Ltd.,0.438313
TLN,Talen Energy Corp,0.435928
PNFP,Pinnacle Financial Partners Inc.,0.431761
RBA,RB Global Inc.,0.431341
ARMK,Aramark,0.430562
WPC,W. P. Carey Inc.,0.426666
CLH,Clean Harbors Inc.,0.426244
TRU,TransUnion,0.419115
BWXT,BWX Technologies Inc.,0.41817
LECO,Lincoln Electric Holdings Inc.,0.417829
NXT,Nextpower Inc. Class A,0.415933
GWRE,Guidewire Software Inc.,0.414247
JAZZ,Jazz Pharmaceuticals Public Limited Company,0.413314
SITM,SiTime Corporation,0.408699
CSL,Carlisle Companies Incorporated,0.406524
NBIX,Neurocrine Biosciences Inc.,0.406336
DT,Dynatrace Inc.,0.400675
EQH,Equitable Holdings Inc.,0.398278
CACI,CACI International Inc Class A,0.396592
MLI,Mueller Industries Inc.,0.394749
RPM,RPM International Inc.,0.387555
TTMI,TTM Technologies Inc.,0.386447
TOL,Toll Brothers Inc.,0.378891
DINO,HF Sinclair Corporation,0.3772
SGI,Somnigroup International Inc.,0.373891
BWA,BorgWarner Inc.,0.37301
DTM,DT Midstream Inc.,0.368436
OHI,Omega Healthcare Investors Inc.,0.367135
GGG,Graco Inc.,0.36581
RNR,RenaissanceRe Holdings Ltd.,0.365387
UNM,Unum Group,0.365108
TXRH,Texas Roadhouse Inc.,0.364589
LAMR,Lamar Advertising Company Class A,0.361878
FIVE,Five Below Inc.,0.358118
SN,SharkNinja Inc.,0.357559
DKS,Dick's Sporting Goods Inc.,0.357022
CG,Carlyle Group Inc,0.357021
BMRN,BioMarin Pharmaceutical Inc.,0.354913
AIT,Applied Industrial Technologies Inc.,0.354157
SF,Stifel Financial Corp,0.352173
MEDP,Medpace Holdings Inc.,0.351799
AA,Alcoa Corporation,0.35064
CCK,Crown Holdings Inc.,0.350451
PEN,Penumbra Inc.,0.344351
WBS,Webster Financial Corporation,0.343054
EXEL,Exelixis Inc.,0.340854
ELS,Equity LifeStyle Properties Inc.,0.33782
OC,Owens Corning,0.336275
AEIS,Advanced Energy Industries Inc.,0.335809
DOCU,DocuSign Inc.,0.333648
ALLY,Ally Financial Inc,0.333337
SMTC,Semtech Corporation,0.333278
FNF,Fidelity National Financial Inc. - FNF Group,0.331979
GLPI,Gaming and Leisure Properties Inc.,0.33125
FHN,First Horizon Corporation,0.330899
DY,Dycom Industries Inc.,0.329315
EHC,Encompass Health Corporation,0.328396
MOG.A,Moog Inc. Class A,0.325497
EVR,Evercore Inc. Class A,0.323824
ARWR,Arrowhead Pharmaceuticals Inc.,0.323032
BJ,BJ's Wholesale Club Holdings Inc.,0.320006
HALO,Halozyme Therapeutics Inc.,0.319946
KNX,Knight-Swift Transportation Holdings Inc. Class A,0.319144
HL,Hecla Mining Company,0.318633
MANH,Manhattan Associates Inc.,0.318515
KTOS,Kratos Defense & Security Solutions Inc.,0.315487
WTRG,Essential Utilities Inc.,0.307488
SCI,Service Corporation International,0.307283
LFUS,Littelfuse Inc.,0.304917
RRX,Regal Rexnord Corporation,0.304267
ELAN,Elanco Animal Health Inc.,0.30124
PINS,Pinterest Inc. Class A,0.30102
DCI,Donaldson Company Inc.,0.297006
SANM,Sanmina Corporation,0.296647
EGP,EastGroup Properties Inc.,0.294891
WTFC,Wintrust Financial Corporation,0.293579
WSO,Watsco Inc.,0.29226
AMH,American Homes 4 Rent Class A,0.290699
AR,Antero Resources Corporation,0.290391
AYI,Acuity Inc.,0.290302
SSB,SouthState Bank Corporation,0.290247
UMBF,UMB Financial Corporation,0.288731
DOCN,DigitalOcean Holdings Inc.,0.288546
CR,Crane Company,0.288079
COKE,Coca-Cola Consolidated Inc.,0.287967
RMBS,Rambus Inc.,0.287804
MOH,Molina Healthcare Inc.,0.287167
ARW,Arrow Electronics Inc.,0.286614
WMS,Advanced Drainage Systems Inc.,0.286551
SPXC,SPX Technologies Inc.,0.284605
